FlightNum,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
3747,1001,913,1153,1125,112,132,99,28,48,706,4,9,28,0,0,0,0
2824,2116,2120,2345,2259,209,159,130,46,-4,939,5,74,0,0,46,0,0
2070,1330,1235,1456,1413,86,98,70,43,55,507,4,12,0,0,0,0,43
2024,1225,1211,1400,1320,95,69,47,40,14,259,20,28,14,0,26,0,0
614,1950,1850,17,2320,207,210,191,57,60,1562,5,11,14,0,0,0,43
1555,2028,1955,2245,2230,137,155,116,15,33,1045,5,16,15,0,0,0,0
1660,759,740,1112,1050,133,130,113,22,19,762,8,12,19,0,3,0,0
1325,1115,1055,1208,1150,113,115,96,18,20,674,6,11,18,0,0,0,0
1600,1052,1055,1507,1440,195,165,164,27,-3,1192,11,20,0,0,27,0,0
1323,916,745,1035,915,139,150,120,80,91,740,4,15,80,0,0,0,0
397,1948,1855,2200,2120,312,325,290,40,53,2342,11,11,40,0,0,0,0
2062,1122,1055,1424,1400,182,185,162,24,27,1258,6,14,11,0,0,0,13
28,1224,1230,2046,2030,322,300,297,16,-6,2398,13,12,0,0,16,0,0
1363,1551,1455,1741,1635,230,220,205,66,56,1464,7,18,0,0,66,0,0
1479,1420,1345,1549,1530,149,165,136,19,35,867,3,10,19,0,0,0,0
617,1245,1210,1357,1320,192,190,164,37,35,1205,13,15,35,0,2,0,0
588,1835,1810,2106,2050,151,160,136,16,25,1045,5,10,0,0,0,0,16
1048,954,830,1350,1225,176,175,153,85,84,1197,5,18,84,0,1,0,0
1261,1908,1905,2159,2135,171,150,134,24,3,920,14,23,0,0,24,0,0
1763,1443,1325,1655,1540,192,195,162,75,78,1197,19,11,3,0,0,0,72
749,1416,1350,1612,1540,116,110,88,32,26,595,4,24,4,0,6,0,22
484,1602,1400,1703,1505,61,65,36,118,122,237,14,11,0,0,0,0,118
334,848,740,1042,925,114,105,91,77,68,631,6,17,68,0,9,0,0
1503,1240,1130,1625,1515,165,165,148,70,70,1120,3,14,70,0,0,0,0
382,1001,950,1205,1143,124,113,106,22,11,550,4,14,0,0,22,0,0
314,1547,1430,1828,1638,161,128,131,110,77,679,6,24,77,0,33,0,0
240,630,600,914,841,164,161,143,33,30,954,8,13,30,0,3,0,0
472,1559,1600,1855,1835,176,155,147,20,-1,954,8,21,0,0,20,0,0
111,2053,2000,2308,2247,195,227,179,21,53,1449,5,11,21,0,0,0,0
511,1848,1800,2138,2045,170,165,142,53,48,978,7,21,0,0,5,0,48
512,1517,1430,1826,1714,189,164,161,72,47,978,11,17,0,0,25,47,0
452,654,700,956,939,182,159,148,17,-6,954,9,25,0,0,17,0,0
563,1105,1030,1307,1250,122,140,109,17,35,834,3,10,17,0,0,0,0
373,702,700,938,852,156,112,81,46,2,605,56,19,0,0,46,0,0
539,1543,1455,1804,1730,141,155,120,34,48,956,5,16,0,0,0,0,34
111,1649,1630,1934,1910,165,160,134,24,19,1050,10,21,2,0,5,0,17
300,2239,2130,519,411,280,281,265,68,69,2277,6,9,0,0,0,0,68
1435,1442,1320,1618,1440,96,80,70,98,82,354,5,21,0,0,98,0,0
553,1151,805,1441,1111,170,186,151,210,226,1068,4,15,210,0,0,0,0
1670,904,840,1014,952,70,72,49,22,24,316,5,16,22,0,0,0,0
348,1828,1800,2207,2121,399,381,340,46,28,2565,5,54,0,0,46,0,0
1702,1340,1330,1733,1625,413,355,343,68,10,2565,5,65,0,0,68,0,0
310,1911,1905,2354,2338,223,213,185,16,6,1400,9,29,0,0,10,6,0
1112,1518,1515,1740,1641,142,86,44,59,3,199,28,70,0,0,59,0,0
